Codigo_prov;Grupo_etario;muertes_masc;muertes_fem;muerte_tot
2;40-44;1;0;1
2;50-54;2;0;2
2;55-59;0;2;2
2;60-64;2;0;2
2;65-69;3;2;5
2;70-74;3;2;5
2;75-79;7;1;8
2;80 y más;12;21;33
6;20-24;1;0;1
6;30-34;1;0;1
6;40-44;1;2;3
6;45-49;3;0;3
6;50-54;2;4;6
6;55-59;6;2;8
6;60-64;20;6;26
6;65-69;21;8;29
6;70-74;20;10;30
6;75-79;17;9;26
6;80 y más;34;38;72
10;40-44;1;0;1
10;45-49;1;0;1
10;50-54;1;0;1
10;55-59;1;0;1
10;60-64;3;1;4
10;65-69;1;0;1
10;75-79;1;1;2
10;80 y más;1;0;1
14;30-34;1;0;1
14;40-44;2;1;3
14;45-49;3;1;4
14;50-54;15;1;16
14;55-59;12;7;19
14;60-64;13;6;19
14;65-69;19;16;35
14;70-74;20;20;40
14;75-79;27;16;43
14;80 y más;48;64;112
18;45-49;2;0;2
18;50-54;0;1;1
18;55-59;3;1;4
18;60-64;1;0;1
18;65-69;1;3;4
18;70-74;10;3;13
18;75-79;6;5;11
18;80 y más;2;12;14
22;30-34;1;0;1
22;35-39;0;1;1
22;40-44;1;0;1
22;45-49;0;4;4
22;50-54;4;0;4
22;55-59;5;3;8
22;60-64;8;5;13
22;65-69;9;7;16
22;70-74;8;5;13
22;75-79;5;4;9
22;80 y más;7;6;13
26;45-49;1;1;2
26;50-54;2;0;2
26;55-59;3;0;3
26;60-64;2;0;2
26;65-69;3;0;3
26;70-74;3;0;3
26;75-79;4;2;6
26;80 y más;5;4;9
30;40-44;1;0;1
30;45-49;1;0;1
30;50-54;1;1;2
30;55-59;0;1;1
30;60-64;2;7;9
30;65-69;7;2;9
30;70-74;11;4;15
30;75-79;4;4;8
30;80 y más;8;18;26
34;40-44;2;0;2
34;45-49;1;2;3
34;50-54;4;6;10
34;55-59;12;3;15
34;60-64;13;7;20
34;65-69;14;7;21
34;70-74;15;10;25
34;75-79;6;6;12
34;80 y más;19;21;40
38;45-49;2;0;2
38;55-59;1;1;2
38;60-64;0;1;1
38;65-69;1;0;1
38;70-74;2;2;4
38;75-79;1;3;4
38;80 y más;2;5;7
42;50-54;1;0;1
42;60-64;2;0;2
42;70-74;0;1;1
42;75-79;2;0;2
46;20-24;1;0;1
46;40-44;1;0;1
46;45-49;2;1;3
46;50-54;4;0;4
46;55-59;2;3;5
46;60-64;3;2;5
46;65-69;10;5;15
46;70-74;7;3;10
46;75-79;4;2;6
46;80 y más;1;6;7
50;25-29;0;1;1
50;35-39;1;1;2
50;40-44;1;0;1
50;45-49;1;1;2
50;50-54;5;3;8
50;55-59;6;7;13
50;60-64;14;8;22
50;65-69;17;5;22
50;70-74;22;20;42
50;75-79;28;17;45
50;80 y más;44;49;93
54;35-39;0;1;1
54;40-44;0;1;1
54;45-49;2;1;3
54;50-54;1;1;2
54;55-59;5;2;7
54;60-64;2;4;6
54;65-69;3;1;4
54;70-74;3;4;7
54;75-79;1;1;2
54;80 y más;5;7;12
58;50-54;1;0;1
58;55-59;3;2;5
58;60-64;3;4;7
58;65-69;2;4;6
58;70-74;3;6;9
58;75-79;5;6;11
58;80 y más;6;11;17
62;40-44;2;0;2
62;50-54;1;1;2
62;60-64;1;0;1
62;65-69;3;0;3
62;70-74;2;1;3
62;75-79;2;2;4
62;80 y más;8;5;13
66;40-44;0;1;1
66;45-49;3;0;3
66;50-54;1;0;1
66;55-59;3;1;4
66;60-64;5;2;7
66;65-69;4;3;7
66;70-74;10;4;14
66;75-79;3;5;8
66;80 y más;8;11;19
70;45-49;1;1;2
70;50-54;0;1;1
70;55-59;2;1;3
70;60-64;2;2;4
70;65-69;1;2;3
70;70-74;8;1;9
70;75-79;7;3;10
70;80 y más;11;18;29
74;50-54;1;0;1
74;55-59;0;1;1
74;60-64;2;3;5
74;70-74;2;3;5
74;75-79;4;3;7
74;80 y más;7;4;11
78;50-54;1;0;1
78;55-59;2;2;4
78;60-64;1;0;1
78;65-69;2;1;3
78;70-74;1;0;1
78;75-79;0;1;1
78;80 y más;2;4;6
82;25-29;1;0;1
82;35-39;1;0;1
82;45-49;0;3;3
82;50-54;0;1;1
82;60-64;3;2;5
82;65-69;5;2;7
82;70-74;13;10;23
82;75-79;6;6;12
82;80 y más;13;26;39
